Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2021-03-04 00:00:56,100.0,7.28,713.35,0.0,0.0
2021-03-04 01:00:56,88.86,8.62,727.54,0.0,0.0
2021-03-04 02:00:56,72.83,8.13,673.03,0.0,0.0
2021-03-04 03:00:56,70.9,8.48,682.12,0.0,0.0
2021-03-04 04:00:56,70.9,7.22,656.12,0.0,0.0
2021-03-04 05:00:56,70.9,6.4,647.13,0.0,0.0
2021-03-04 06:00:56,70.9,5.46,634.04,0.0,0.0
2021-03-04 07:00:56,70.9,5.6,659.48,0.0,0.0
2021-03-04 08:00:56,70.9,7.21,787.96,0.0,0.0
2021-03-04 09:00:56,70.9,9.61,949.56,0.0,0.0
2021-03-04 10:00:56,70.9,13.2,1221.71,0.0,0.0
2021-03-04 11:00:56,70.9,17.89,1198.32,0.0,0.0
2021-03-04 12:00:56,70.9,21.25,1030.05,0.0,0.0
2021-03-04 13:00:56,71.48,15.55,947.32,0.0,0.0
2021-03-04 14:00:56,150.97,11.11,792.67,0.0,0.0
2021-03-04 15:00:56,202.59,11.45,824.95,0.0,0.0
2021-03-04 16:00:56,221.46,12.55,863.18,0.0,0.0
2021-03-04 17:00:56,172.2,6.12,698.49,0.0,0.0
2021-03-04 18:00:56,139.25,6.26,769.39,0.0,0.0
2021-03-04 19:00:56,80.59,8.52,768.69,0.0,0.0
2021-03-04 20:00:56,87.16,9.39,898.33,0.0,0.0
2021-03-04 21:00:56,100.28,11.56,974.27,0.0,0.0
2021-03-04 22:00:56,169.13,18.07,1204.24,0.0,0.0
2021-03-04 23:00:56,192.29,21.2,1282.78,0.0,0.0
2021-03-05 00:00:56,242.03,31.24,2435.77,0.0,0.0
2021-03-05 01:00:56,266.0,52.51,3347.27,0.0,0.0
2021-03-05 02:00:56,266.0,46.29,2024.21,0.0,0.0
2021-03-05 03:00:56,266.0,27.56,1590.66,0.0,0.0
2021-03-05 04:00:56,266.0,30.03,1577.34,0.0,0.0
2021-03-05 05:00:56,266.0,28.87,1579.66,0.0,0.0
2021-03-05 06:00:56,266.0,22.95,1364.87,0.0,0.0
2021-03-05 07:00:56,266.0,24.38,1370.02,0.0,0.0
2021-03-05 08:00:56,266.0,26.53,1554.93,0.0,0.0
2021-03-05 09:00:56,266.0,30.44,1534.01,0.0,0.0
2021-03-05 10:00:56,266.0,26.63,1752.59,0.0,0.0
2021-03-05 11:00:56,266.0,26.4,1642.92,0.0,0.0
2021-03-05 12:00:56,266.0,27.36,1570.62,0.0,0.0
2021-03-05 13:00:56,266.0,25.85,1301.88,0.0,0.0
2021-03-05 14:00:56,266.0,22.4,1161.69,0.0,0.0
2021-03-05 15:00:56,266.0,19.15,980.81,0.0,0.0
2021-03-05 16:00:56,266.0,16.49,998.09,0.0,0.0
2021-03-05 17:00:56,266.0,17.73,1106.95,0.0,0.0
2021-03-05 18:00:56,266.0,19.7,1223.8,0.0,0.0
2021-03-05 19:00:56,266.0,13.89,920.39,0.0,0.0
2021-03-05 20:00:56,266.0,6.62,872.88,0.0,0.0
2021-03-05 21:00:56,266.0,7.26,1047.33,0.0,0.0
2021-03-05 22:00:56,266.0,13.83,1535.9,0.0,0.0
2021-03-05 23:00:56,266.0,17.98,1343.41,0.0,0.0
2021-03-06 00:00:56,266.0,10.87,1119.53,0.0,0.0
2021-03-06 01:00:56,266.0,17.22,1376.77,0.0,0.0
2021-03-06 02:00:56,266.0,18.84,1520.52,0.0,0.0
2021-03-06 03:00:56,266.0,14.87,1503.22,0.0,0.0
2021-03-06 04:00:56,266.0,14.36,1569.79,0.0,0.0
2021-03-06 05:00:56,266.0,12.54,1420.67,0.0,0.0
2021-03-06 06:00:56,266.0,10.47,1323.22,0.0,0.0
2021-03-06 07:00:56,266.0,8.11,1129.84,0.0,0.0
2021-03-06 08:00:56,266.0,11.08,1327.59,0.0,0.0
2021-03-06 09:00:56,266.0,15.81,1360.88,0.0,0.0
2021-03-06 10:00:56,266.0,13.65,1523.55,0.0,0.0
2021-03-06 11:00:56,266.0,15.92,1375.76,0.0,0.0
2021-03-06 12:00:56,266.0,19.41,1375.65,0.0,0.0
2021-03-06 13:00:56,266.0,23.26,1443.09,0.0,0.0
2021-03-06 14:00:56,266.0,18.59,1171.87,0.0,0.0
2021-03-06 15:00:56,266.0,8.19,1080.19,0.0,0.0
2021-03-06 16:00:56,266.0,6.72,1061.69,0.0,0.0
2021-03-06 17:00:56,266.0,6.84,864.46,0.0,0.0
2021-03-06 18:00:56,266.0,0.0,780.23,0.0,0.0
2021-03-06 19:00:56,266.0,5.47,716.91,0.0,0.0
2021-03-06 20:00:56,266.0,4.66,792.21,0.0,0.0
2021-03-06 21:00:56,266.0,7.55,831.85,0.0,0.0
2021-03-06 22:00:56,266.0,3.84,887.33,0.0,0.0
2021-03-06 23:00:56,266.0,8.2,964.36,0.0,0.0
2021-03-07 00:00:56,266.0,11.94,970.62,0.0,0.0
2021-03-07 01:00:56,266.0,10.49,1030.63,0.0,0.0
2021-03-07 02:00:56,266.0,12.45,811.58,0.0,0.0
2021-03-07 03:00:56,266.0,11.97,719.0,0.0,0.0
2021-03-07 04:00:56,266.0,6.18,719.7,0.0,0.0
2021-03-07 05:00:56,266.0,5.5,698.27,0.0,0.0
2021-03-07 06:00:56,266.0,4.63,677.89,0.0,0.0
2021-03-07 07:00:56,266.0,3.63,665.32,0.0,0.0
2021-03-07 08:00:56,266.0,3.09,667.9,0.0,0.0
2021-03-07 09:00:56,266.0,5.4,744.89,0.0,0.0
